event,time,user,message,category,code
,[0:10:14] ,bunky,gachikuns cpt costume is out if you wanna check it out,other,10
,[0:10:18] ,gruffgridof,cheer,goodp,6
,[0:10:18] ,risemix,we el fuerte boys,other,10
,[0:10:19] ,badarcade,do all final fight characters have to have some type of runnin mechanic,question,8
,[0:10:25] ,lordcawfee,can she do runstop combos,question,8
,[0:10:25] ,lucillemycooch,rise up broddas,request,1
,[0:10:28] ,magicjerryfresh,this is like lauras command dash with the stop,caction,3
,[0:10:29] ,freakyyyy,young zeku xd,caction,3
,[0:10:35] ,kingphantomyt,whys the update so large,question,8
,[0:10:44] ,freakyyyy,run slide,request,1
,[0:10:58] ,coolvargas,so is she wack or not,question,8
,[0:10:58] ,mexicanlew,do cmk into light fireball if spaced right you can get the fireball to hit in the back,request,1
,[0:11:00] ,risemix,this character is mugen fan fiction,cinfo,5
,[0:11:01] ,aspyrefgc,so is this character wack or no,question,8
,[0:11:12] ,alexanderheinz,lucia main seemsgood,cinfo,5
,[0:11:13] ,aodsnarf,ohh yeah gotta sub to you know,other,10
,[0:11:15] ,dash,poison cant run,cinfo,5
,[0:11:15] ,kantokid,kantokid subscribed with twitch prime theyve subscribed for months,other,10
,[0:11:26] ,dash,cody cant either,cinfo,5
,[0:11:26] ,dongerswag,doesnr she have a df lp,question,8
,[0:11:27] ,sammisam,poison can walk though in the s t a n c e,cinfo,5
,[0:11:32] ,freakyyyy,coolvargas we will see after months,other,10
,[0:11:33] ,aodsnarf,ill do it when i get to my comp,other,10
,[0:11:34] ,happydichi,should ken fans be worried or are the similarities just cosmetic,question,8
,[0:11:36] ,liquidsnke,aspyrefgc shell grow on you,comment,2
,[0:11:40] ,quetutes,she seems fun to me,caction,3
,[0:11:40] ,ninjavanish,ninjavanish subscribed at tier theyve subscribed for months currently on a month streak sfv lives rise up,other,10
,[0:11:46] ,spydermanga,did you do the v skill already,question,8
,[0:11:54] ,moravia,easy char,cinfo,5
,[0:11:57] ,freakyyyy,cancelable to vt,cinfo,5
,[0:12:12] ,damuffinman,jack off,request,1
,[0:12:19] ,damuffinman,girl calm down,request,1
,[0:12:20] ,quoji,is that perdon,question,8
,[0:12:22] ,nodthenbow,shove off,request,1
,[0:12:23] ,fernadiee,she says perdon,cdesign,4
,[0:12:24] ,variantx,shove off,request,1
,[0:12:25] ,ninjavanish,lol,goodp,6
,[0:12:26] ,fernadiee,lmao,goodp,6
,[0:12:37] ,swiftruina,lucia hispanic,cdesign,4
,[0:12:38] ,azraelgt,does she say shit,question,8
,[0:12:48] ,fernandomk,poison poison,cinfo,5
,[0:12:51] ,quoji,she bodega inspired,cdesign,4
,[0:12:53] ,sammisam,she says the same thing abigail does,cdesign,4
,[0:12:54] ,llesor,rise up,request,1
,[0:13:00] ,hyperlokii,is lucia good,question,8
,[0:13:03] ,poorygone,not show off,cinfo,5
,[0:13:13] ,rashidoo,u did ur homework huh,comment,2
,[0:13:14] ,quoji,with the lore,other,10
,[0:13:15] ,jackedalot,i hate the one shot of pink on the bottom of her shoes it bothers me,cdesign,4
,[0:13:16] ,liquidsnke,right there,comment,2
,[0:13:17] ,misterzlava,is she available now,question,8
,[0:13:22] ,spacedive,is there a balance patch too,question,8
,[0:13:23] ,lnnminable,he loves lucia now keepo,comment,2
,[0:13:24] ,freakyyyy,yes,goodp,6
,[0:13:24] ,neokable,when are we getting the bundle,question,8
,[0:13:27] ,poweruser,on life support,other,10
,[0:13:32] ,bipolarcougar,do you think poison is a better choice,question,8
,[0:13:34] ,squalladv,thicc,other,10
,[0:13:39] ,intergalacticowl,no one playing honda,comment,2
,[0:13:42] ,momenti,thats bread and butter,comment,2
,[0:13:52] ,neoshadow,is this pc version,question,8
,[0:13:53] ,tumspoog,was there any balance changes or just the new characters,question,8
,[0:13:54] ,jimmylee,smurf account,other,10
,[0:13:57] ,swiftruina,she kicks so fast it looks goofy,caction,3
,[0:13:58] ,rells,look at with all the knowledge,comment,2
,[0:14:04] ,intergalacticowl,tumspoog expecting too much from capcom,game,9
,[0:14:04] ,leothelion,buff and nerfs,other,10
,[0:14:06] ,abstraktlogic,intergalacticowl you already knew that people cried for him just to not play him,other,10
,[0:14:08] ,damuffinman,btw that is not a new york accent its a new jersey accent,cdesign,4
,[0:14:09] ,variantx,i might actually be playing sfv againwhat is this timeline,other,10
,[0:14:14] ,damuffinman,just to get the record straight,other,10
,[0:14:19] ,intergalacticowl,damuffinman uh no its not,other,10
,[0:14:20] ,dpgimenez,trials,game,9
,[0:14:29] ,damuffinman,yes it is intergalacticowl,other,10
,[0:14:32] ,freakyyyy,yeah trials,game,9
,[0:14:33] ,llesor,buuz waff,other,10
,[0:14:35] ,damuffinman,fight me damuffderp,request,1
,[0:14:38] ,intergalacticowl,yeah in the parts next to new york,other,10
,[0:14:40] ,tumspoog,pretty disappointed but i guess i didnt expect much in the first place,comment,2
,[0:14:42] ,monjafighter,hey can you put key display on,request,1
,[0:14:44] ,khoa,feel like im watching ken,comment,2
,[0:14:44] ,squalladv,go tehepelo,goodp,6
,[0:14:45] ,quoji,when did this drop,question,8
,[0:14:49] ,tumspoog,was really hoping for some juri buffs,comment,2
,[0:14:50] ,bgamr,trials bois,game,9
,[0:14:52] ,abstraktlogic,intergalacticowl just because he was in which isnt the originalhe has to be here,other,10
,[0:14:57] ,inodmyheadwhenilose,knows his audience,other,10
,[0:14:57] ,monjafighter,thanks mate,other,10
,[0:14:59] ,damuffinman,i live in brooklyn def not a brooklyn accent,cdesign,4
,[0:14:59] ,spydermanga,hows her projectiles,question,8
,[0:15:01] ,variantx,quoji dropped,caction,3
,[0:15:02] ,tumspoog,gotta wait until for another lines of inconsequential changes,other,10
,[0:15:05] ,sandmana,sinking ship,other,10
,[0:15:06] ,inodmyheadwhenilose,super,goodp,6
,[0:15:09] ,llesor,chance,goodp,6
,[0:15:10] ,kirblar,there were a lot of bugfixes though,game,9
,[0:15:10] ,supremecoy,hope this holds till november,other,10
,[0:15:11] ,dongerswag,lmfao,goodp,6
,[0:15:11] ,hydropnica,smugelinevaseline smugelinevaseline smugelinevaseline smugelinevaseline smugelinevaseline smugelinevaseline,other,10
,[0:15:14] ,themegaguy,no balance patch vesperkilley,comment,2
,[0:15:20] ,alexanderheinz,rashid karin,request,1
,[0:15:23] ,kingfossilfer,httpsgamecapcomcomcfnsfvsystemfaultlangen,other,10
,[0:15:28] ,moravia,karin akuma and forever,comment,2
,[0:15:33] ,kirblar,the bug fixes are actually kind of significant depending on the character,game,9
,[0:15:40] ,leothelion,well i heard evo was different characters in top so that is good news,game,9
,[0:15:54] ,infectedjazz,is it a good thing to balance the game in the middle of the cpt,game,9
,[0:15:54] ,poorygone,too late for a patch this season,game,9
,[0:15:58] ,supremecoy,rashid forever,comment,2
,[0:16:01] ,damuffinman,who needs balance in a fighting game,question,8
,[0:16:03] ,chipi,k,goodp,6
,[0:16:06] ,squalladv,shes hot curselit,cdesign,4
,[0:16:07] ,azraelgt,hacky sack,other,10
,[0:16:08] ,infectedjazz,i would expect a balance patch after capcom cup,game,9
,[0:16:15] ,variantx,sfv is the game with weird fireballs for most of the new cast,game,9
,[0:16:17] ,nycness,evo thoughts,other,10
,[0:16:19] ,yamsandjams,can it bounce off the wall,question,8
,[0:16:22] ,jackedalot,they usually have a mid season patch after evo,game,9
,[0:16:30] ,tumspoog,if it makes the game more enjoyable to watch who cares when the balance patch is,game,9
,[0:16:32] ,quoji,infectedjazz its limited to once or twice a year after evo after capcup not bad,game,9
,[0:16:43] ,snakehead,whats her vskill,question,8
,[0:16:44] ,llesor,minus,badp,7
,[0:16:49] ,llesor,oh no boys,badp,7
,[0:16:51] ,llesor,oh no,badp,7
,[0:16:51] ,rfhc,kinda reminds me of ken with dhalsim fireballs,cdesign,4
,[0:16:51] ,yamsandjams,so its juri sthk,cinfo,5
,[0:16:55] ,infectedjazz,quoji oh are the patches usually after evo,question,8
,[0:16:56] ,leothelion,mk needs a balance patch everyone only used of the roaster,game,9
,[0:16:57] ,spydermanga,hows her vrev,question,8
,[0:17:02] ,squalladv,feels s is super balanced why balance patch just delete karin,game,9
,[0:17:02] ,quoji,last year there was,game,9
,[0:17:03] ,gruffgridof,can you space it,question,8
,[0:17:04] ,llesor,hell yeah,goodp,6
,[0:17:11] ,freakyyyy,trials will get you started man,goodp,6
,[0:17:13] ,bipolarcougar,are you going to release a guide,question,8
,[0:17:13] ,dongerswag,how is her overhead on ch,question,8
,[0:17:14] ,poorygone,that avoids lows,goodp,6
,[0:17:16] ,officialnakmatic,by anime standards is great,goodp,6
,[0:17:19] ,madthemerc,so shes kinda like a shoto,cdesign,4
,[0:17:24] ,bgamr,i thought the character were free for two days,game,9
,[0:17:28] ,rfhc,at least fei long would be different,cdesign,4
,[0:17:29] ,jackedalot,theres enough pushback,cinfo,5
,[0:17:30] ,bgamr,characters,cinfo,5
,[0:17:34] ,freakyyyy,not bad at allll not like falke,cinfo,5
,[0:17:35] ,greyseerrob,df lk is a sim slide,game,9
,[0:17:39] ,nycness,evo thoughts,game,9
,[0:17:41] ,rashidoo,where do i go to see hitboxes again,question,8
,[0:17:44] ,thedjoker,whats her super,question,8
,[0:17:48] ,garlandu,im so glad you like lucia,comment,2
,[0:17:49] ,damuffinman,game itself is on free trial not the chars tho,game,9
,[0:17:53] ,yamsandjams,i believe the season characters are part of the free trial of which this character isnt one,game,9
,[0:18:08] ,keikei,can u believe samsho has free dlc,question,8
,[0:18:11] ,supremecoy,free for days in,game,9
,[0:18:13] ,swiftruina,that stubby ass overhead is,cdesign,4
,[0:18:14] ,shadowdancer,the bundle is only tomorrow,game,9
,[0:18:20] ,efonzerellie,i can already tell i dont like this character,cdesign,4
,[0:18:23] ,yamsandjams,yeh bundle doesnt release until tomorrow,game,9
,[0:18:31] ,moneygreen,congratulations on the new emote by enzo,other,10
,[0:18:41] ,squalladv,doesnt makes sense tbh if you make the game time limited fp let it all be free,game,9
,[0:18:41] ,hennesyhufflepuf,lurkin,other,10
,[0:18:42] ,dongerswag,sodaf sodaf,other,10
,[0:18:44] ,alexanderheinz,that v skill is for combo only,cinfo,5
,[0:18:50] ,dpgimenez,she has a inv reversal,cinfo,5
,[0:18:55] ,avantistarre,lucia may make me pick up sfv again but idk,cinfo,5
,[0:19:00] ,damuffinman,her animations look good but her moves seemed recycled from other characters,cdesign,4
,[0:19:04] ,momenti,her fireballs are assume to me anyway,cdesign,4
,[0:19:05] ,azraelgt,finish with fire,request,1
,[0:19:06] ,avantistarre,the netcode always puts a massive damper on thigns,game,9
,[0:19:12] ,tyranteddy,did u do her trials already,question,8
,[0:19:16] ,beatles,yooo chat,other,10
,[0:19:23] ,squalladv,the only thing i feel like recycled is her win pose,cdesign,4
,[0:19:24] ,zyxwhitewind,oh season characters are free and i can use my crossover costumes for falke and sagat now lol,game,9
,[0:19:24] ,avantistarre,does she have a story mode,question,8
,[0:19:25] ,dongerswag,please show me optimal combos and setups for all oki thanks,request,1
,[0:19:27] ,ballowethebear,how do you smurf on pc family share,question,8
,[0:19:36] ,maxmumraper,bruh i wanna buy honda cause he has good movesets now butdat damage is just ewwww,game,9
,[0:19:36] ,avantistarre,yeah its family share,other,10
,[0:19:39] ,zacksorrowhole,hi koncha hi chat koncha,other,10
,[0:19:41] ,legnowe,deep crossup,request,1
,[0:19:42] ,llesor,want some chat,question,8
,[0:19:43] ,giantblitz,head heyguys,other,10
,[0:19:52] ,moneygreen,afourpika afourpika afourpika afourpika,other,10
,[0:20:00] ,moneygreen,sutochill sutochill sutochill sutochill sutochill,other,10
,[0:20:11] ,ballowethebear,i thought in game purchases didnt transfer though,game,9
,[0:20:13] ,azraelgt,llesor explain that joke please,other,10
,[0:20:14] ,xsodarkcarver,thats the cody jump medium punch target combo,caction,3
,[0:20:16] ,damuffinman,this stage brings back memories though,game,9
,[0:20:20] ,officialnakmatic,combo into super or vtrigger,request,1
,[0:20:26] ,manolotanaka,fireball,request,1
,[0:20:32] ,poorygone,lmao lucia emotes already doodlewd,game,9
,[0:20:33] ,giantblitz,do she halve trails,question,8
,[0:20:34] ,llesor,azraelgt no joke just offering some,other,10
,[0:20:46] ,squalladv,i want thicc,other,10
,[0:20:50] ,azraelgt,be like that then,other,10
,[0:20:58] ,dongerswag,sodaf sodaf,other,10
,[0:21:02] ,squalladv,lucia emotes lmao,game,9
,[0:21:06] ,enzo,enzo subscribed at tier theyve subscribed for months currently on a month streak gimmie my cawfeee,other,10
,[0:21:20] ,inodmyheadwhenilose,httpswwwyoutubecomwatchvwjtzfbfrqi,other,10
,[0:21:23] ,squalladv,now i need a gift sub and my life will be perfect,other,10
,[0:21:27] ,llesor,enzo you made the emote right,other,10
,[0:21:28] ,enzo,cheers,goodp,6
,[0:21:29] ,zodymelody,meh this character shes kinda weird,cdesign,4
,[0:21:33] ,countmeowingtonn,poison is fucking dirty lmao,caction,3
,[0:21:36] ,llesor,its great man,goodp,6
,[0:21:46] ,enzo,yep llesor,goodp,6
,[0:21:50] ,enzo,thanks,goodp,6
,[0:21:53] ,itzlcd,i played lucia for minutes shes whack,cinfo,5
,[0:21:59] ,itzlcd,no balance patch so i quit,game,9
,[0:22:00] ,squalladv,why,question,8
,[0:22:03] ,squalladv,vv,other,10
,[0:22:06] ,megatonbeef,you get hype during finals,comment,2
,[0:22:09] ,countmeowingtonn,i played her for minutes and shes wack,cinfo,5
,[0:22:21] ,hydropnica,smugelinevaseline smugelinevaseline smugelinevaseline smugelinevaseline smugelinevaseline,other,10
,[0:22:22] ,rashidoo,are u a man of your word lcd,question,8
,[0:22:22] ,manolotanaka,the fireball,request,1
,[0:22:23] ,lnnminable,new main,cinfo,5
,[0:22:25] ,rfhc,we shouldve had fei long instead,cinfo,5
,[0:22:26] ,hydropnica,im playing now,other,10
,[0:22:32] ,xsodarkcarver,balance patch is probably coming after capcom pro tour,game,9
,[0:22:34] ,dongerswag,sodaf sodaf,other,10
,[0:22:36] ,dongerswag,forsen forsen,request,1
,[0:22:37] ,hydropnica,poison is fun,cinfo,5
,[0:22:38] ,giantblitz,karin the only good one,cinfo,5
,[0:22:41] ,itzlcd,rfhc yes uninstalled,other,10
,[0:22:43] ,shotgunsagat,balance patch before capcom cup,game,9
,[0:22:48] ,bingbingwahoo,she got a framer,cdesign,4
,[0:22:49] ,damuffinman,you just doing lucia tonight,question,8
,[0:23:01] ,tehwrecker,we need sakura buff awareness though,cinfo,5
,[0:23:02] ,spydermanga,itzlcd says lucias whack somebodys about to main lucia kappaross,cinfo,5
,[0:23:02] ,jackedalot,this theme,game,9
,[0:23:03] ,mikethegreatest,does anybody know if i buy these chars now will i be able to use them on smurfs,question,8
,[0:23:06] ,rfhc,itzlcd thank you for understand,other,10
,[0:23:07] ,countmeowingtonn,yeah she has a framer,cinfo,5
,[0:23:07] ,cluminati,oh wut no balance patch,game,9
,[0:23:09] ,mikethegreatest,if i use real dollars,other,10
,[0:23:11] ,cluminati,f that,other,10
,[0:23:12] ,diamondmike,kof is in development,game,9
,[0:23:23] ,akinohamlet,damn there really was just new characters for evo,game,9
,[0:23:27] ,mosesthechosenone,gonna be a lucia main,cinfo,5
,[0:23:29] ,cluminati,waddup how u likin lucia,question,8
,[0:23:31] ,damuffinman,all good,goodp,6
,[0:23:32] ,daveski,what time does the bundle go on sale,question,8
,[0:23:35] ,lurknazmonster,bundle is out now,game,9
,[0:23:36] ,neoshadow,do you prefer pc or console version,question,8
,[0:23:37] ,gyari,bundle is out on steam tho,game,9
,[0:23:37] ,asairaven,the bundle is live i bought it,game,9
,[0:23:40] ,mosesthechosenone,also kupakawfee,game,9
,[0:23:42] ,gyari,i bought it,game,9
,[0:23:43] ,coolvargas,she seems to have good corner carry,caction,3
,[0:23:55] ,zyxwhitewind,this theme though reminds me of that s cops cartoon,game,9
,[0:24:15] ,zyxwhitewind,fighting crime in a future time,game,9
,[0:24:17] ,mikethegreatest,wheres the costume on steam,question,8
,[0:24:21] ,azraelgt,thanks for making me waste time looking for it llesor minutes wasted of my life,other,10
,[0:24:24] ,itzlcd,she looks like a super combo character so her neutral gonna be ass,cdesign,4
,[0:24:34] ,mikethegreatest,the bundle,game,9
,[0:24:45] ,leoguimaraes,i dont think people will use this char,cinfo,5
,[0:24:50] ,llesor,azraelgt its just a cupacawfee man,other,10
,[0:24:57] ,squalladv,i think people will use this char,cinfo,5
,[0:25:02] ,quoji,theme is solid,game,9
,[0:25:02] ,countmeowingtonn,gimme some,request,1
,[0:25:02] ,azraelgt,shut up,request,1
,[0:25:12] ,poorygone,says the guy who likes knife cody,other,10
,[0:25:19] ,greyseerrob,her trials are pretty easy compared to normal,cdesign,4
,[0:25:19] ,kcomplex,whats up,question,8
,[0:25:28] ,hilikusss,they added the other guy from walking dead in tekken will you play it again now,other,10
,[0:25:29] ,cluminati,she looks hella dope,cdesign,4
,[0:25:32] ,cluminati,and fun,cdesign,4
,[0:25:32] ,bobdobbz,knife rip,other,10
,[0:25:32] ,zyxwhitewind,loremaster is this theme in final fight,other,10
,[0:25:33] ,lurknazmonster,httpsstoresteampoweredcomappstreetfightervsummercharacterbundlecuratorclanid,other,10
,[0:25:33] ,hilikusss,the dude with the tiger like sagat,other,10
,[0:25:44] ,shotgunsagat,she looks well animated,cdesign,4
,[0:25:44] ,megatonbeef,everyone catch the snake tease after tekken,other,10
,[0:25:45] ,llesor,azraelgt seriously tho i thought it was just her accent,cdesign,4
,[0:25:53] ,llesor,i didnt know there was a specific joke,other,10
,[0:25:54] ,squalladv,yep love her animations,cdesign,4
,[0:25:56] ,cluminati,i think i might switch my main,cinfo,5
,[0:26:05] ,miketales,this grind for fight money is getting annoying,other,10
,[0:26:07] ,hilikusss,tekken scks this is a sf stream megatonbeef,other,10
,[0:26:08] ,shotgunsagat,maybe if they normalize the top tier characters well see more character variety,game,9
,[0:26:11] ,ghostfromrdstrike,the snake thing wasnt a tease,game,9
,[0:26:12] ,rfhc,damage output,badp,7
,[0:26:13] ,cluminati,why,badp,7
,[0:26:14] ,keikei,lurknazmonster thanks for the link,other,10
,[0:26:15] ,llesor,decent,goodp,6
,[0:26:15] ,squalladv,yep,goodp,6
,[0:26:18] ,inodmyheadwhenilose,look at that damage,goodp,6
