index,event,event_code,time,user,message,category,code
4122,match round two,9,[2:54:08] ,akuma,is richard epcar voicing honda,question,8
4123,match round two,9,[2:54:09] ,jackiechun,does lucia has an overhead guyz,question,8
4124,match round two,9,[2:54:12] ,sidebysidefgc,butt is,other,10
4125,match round two,9,[2:54:14] ,shinyakimura,wow,goodp,6
4126,match round two,9,[2:54:16] ,bobdobbz,no but they def stayed true to honda unlike cody,cinfo,5
4127,match round two,9,[2:54:20] ,megatonbeef,ghostfromrdstrike turles for more goku,other,10
4128,match round two,9,[2:54:20] ,freakyyyy,human blanka,other,10
4129,match round two,9,[2:54:23] ,bloodwizardd,damage,caction,3
4130,match round two,9,[2:54:24] ,laverde,mustve been going crazy for that new gg,goodp,6
4131,match round two,9,[2:54:30] ,laverde,its so sexy,caction,3
4132,match round two,9,[2:54:36] ,nurselee,aitcho hard version probably leads into more combos but its on block yet the light version leaves him on block,caction,3
4133,match round two,9,[2:54:39] ,poorygone,anyone would,other,10
4134,match round two,9,[2:54:41] ,shinyakimura,whats the startup on his ex throw,question,8
4135,match round two,9,[2:54:44] ,beatsbynoelbrown,on your mark get set unfollow,comment,2
4136,match round two,9,[2:54:44] ,ghostfromrdstrike,they just announced dbfz world tour continuation so theyre definitely not done supporting this game,game,9
4137,match round two,9,[2:54:46] ,freakyyyy,the chip damage on the s hand omg,caction,3
4138,match round two,9,[2:54:49] ,empgeneraltsochicken,lmaooo,goodp,6
4182,match round two,9,[2:56:43] ,megatonbeef,mrlawyer akuma,request,1
4183,match round two,9,[2:56:47] ,ghostfromrdstrike,mr lawyer with the hot takes reoboon,other,10
4184,match round two,9,[2:56:50] ,horseapples,mrlawyer people have bad taste,other,10
4185,match round two,9,[2:56:54] ,,predacn still lame,badp,7
4186,match round two,9,[2:56:56] ,freakyyyy,ehonda is my man,other,10
4187,match round two,9,[2:57:08] ,bobdobbz,its believe it,other,10
4188,match round two,9,[2:57:15] ,slickcriminal,wait da faq all these chars out now,game,9
4189,match round two,9,[2:57:21] ,manusfactum,hey chat how are the new characters looking so far,question,8
4190,match round two,9,[2:57:22] ,easxl,yeah,goodp,6
4191,match round two,9,[2:57:26] ,slickcriminal,oh wow,goodp,6
4192,match round two,9,[2:57:27] ,drragemonster,isnt it funny how e honda has the low tier god pose when he charges his gaurd break in v trigger,cinfo,5
4193,match round two,9,[2:57:32] ,beatsbynoelbrown,hey whats that guys stream so i can go follow him instead from now on,question,8
4194,match round two,9,[2:57:33] ,sidebysidefgc,i think crosup butt slam is,caction,3
4195,match round two,9,[2:57:37] ,manusfactum,thinking about getting poison and wanna know if we know if shes any good,question,8
4196,match round two,9,[2:57:40] ,aitcho,glass cannon glass cannon,request,1
4197,match round two,9,[2:57:41] ,falciegaiah,is there a way to do the grab combo trowing in front instead of backwards,question,8
4198,match round two,9,[2:57:43] ,predacn,agreed even if it was more hype people would get bored of seeing it eventually,game,9
4199,match round two,9,[2:57:46] ,poorygone,manusfactum honda is looking pretty good of the,cdesign,4
4200,match round two,9,[2:57:52] ,azurewotan,jp too low,caction,3
4201,match round two,9,[2:57:54] ,shinyakimura,maybe woulda worked if you got a little closer,request,1
4202,match round two,9,[2:57:54] ,azurewotan,sad,badp,7
4203,match round two,9,[2:57:57] ,bobdobbz,sidebysidefgc nope,other,10
4318,match round two,9,[3:02:21] ,kelvaen,he did,other,10
4319,match round two,9,[3:02:24] ,laverde,mrlawyer thirsty cuz i said it was hot sit down,other,10
4320,match round two,9,[3:02:33] ,oozzzy,fchamp tried all but spent the most time on lucia,other,10
4321,match round two,9,[3:02:36] ,horseapples,ssjsoujiro she was already like an sf character before sf,cinfo,5
4322,match round two,9,[3:02:39] ,poorygone,put yun in i dare you capcom,game,9
4323,match round two,9,[3:02:42] ,theenygma,watch the dlc be el fuerte and rufus,other,10
4324,match round two,9,[3:02:45] ,vegabuster,cody has da best theme in the game,cdesign,4
4325,match round two,9,[3:02:48] ,,the character bundle is out alrdy atleast for me,game,9
4326,match round two,9,[3:02:49] ,sak,honda can do his headbutts without vtrigger right,caction,3
4531,match round two,9,[3:13:57] ,lionheartrawr,dangalfthekrey didnt they that was for casual,other,10
4532,match round two,9,[3:14:01] ,ghostfromrdstrike,tekken season starts september,other,10
4533,match round two,9,[3:14:03] ,tokenblackdood,dangalfthekrey my favorite thing is that they reworked reversal edge i was so happy,other,10
4534,match round two,9,[3:14:08] ,dementedhag,it didnt deserve to disappear,other,10
4535,match round two,9,[3:14:13] ,horseapples,bobdobbz its been consistently played at nybc,other,10
4536,match round two,9,[3:14:21] ,ghostfromrdstrike,rock howard in kof is godlike,other,10
4537,match round two,9,[3:14:25] ,reoayanami,so many games will disappear after evo,other,10
4538,match round two,9,[3:14:29] ,bobdobbz,no but reversal edge was so scrubby,other,10
4539,match round two,9,[3:14:34] ,laverde,do yall want a sfvi or capcom all star game,other,10
4725,match round two,9,[3:24:47] ,ghostfromrdstrike,mil people would buy street fighter if its content rich and it looked good,game,9
4726,match round two,9,[3:24:49] ,torasamu,is she good,question,8
4727,match round two,9,[3:24:51] ,doh,so no balance changes,question,8
4728,match round two,9,[3:24:58] ,lornosaj,is lucia good,question,8
4729,match round two,9,[3:25:05] ,dangalfthekrey,budafuka im usually a hardcore git gud scrub when it comes to balance but ratshit is so unhealthy for the game even sf vanilla sagat and akuma had some sort of weakness,cinfo,5
4730,match round two,9,[3:25:10] ,ghostfromrdstrike,many people buy mk because it looks good and its content rich,game,9
4731,match round two,9,[3:25:11] ,megatonbeef,ghostfromrdstrike get those ultra sf on switch sales,other,10
4732,match round two,9,[3:25:16] ,beatsbynoelbrown,her damage output seems on the low side,cinfo,5
5193,match round two,9,[4:00:18] ,clptpy,end of year come ultra street fighter,game,9
5194,match round two,9,[4:00:29] ,llesor,kingofrogs she has the run cancel the shoulder a kick and vskill,request,1
5195,match round two,9,[4:00:32] ,llesor,all in the cmd dash,request,1
5196,match round two,9,[4:00:37] ,sak,capcom hates ken then they must despise ryu wholeheartedly,game,9
5197,match round two,9,[4:00:44] ,kingofrogs,kirb restart the game,request,1
5198,match round two,9,[4:00:45] ,aitcho,the first frame trap super,goodp,6
5199,match round two,9,[4:00:47] ,ustinodj,rashidoo did you leave,question,8
5200,match round two,9,[4:00:52] ,rashidoo,nah im still here,other,10
5201,match round two,9,[4:00:58] ,raynys,yes it does,other,10
5319,match round two,9,[4:08:43] ,xavilandro,who is the female fighter,question,8
5320,match round two,9,[4:08:44] ,ustinodj,rashidoo why the fuck does that recover so fast,question,8
5321,match round two,9,[4:08:48] ,kirb,anyone in here playing sfv on pc and living in the uk,other,10
5322,match round two,9,[4:08:54] ,rashidoo,ex headbutt,request,1
5323,match round two,9,[4:08:54] ,damuffinman,thatlnsomniaczack ill probably play wednesday,other,10
5324,match round two,9,[4:08:55] ,yunggrasshopper,well at least poison shows promise not saying lucia is bad she just lacks originality,cinfo,5
5325,match round two,9,[4:09:02] ,ustinodj,no command grab,request,1
5326,match round two,9,[4:09:14] ,thatlnsomniaczack,damuffinman awesome,goodp,6
5393,match round two,9,[4:15:01] ,vzu,all i know is after playing mks bs for so long sfv feels smooth af,game,9
5394,match round two,9,[4:15:05] ,mysteriousmentor,please stop using e honda please he is a cancerous character i cant breath lol,request,1
5395,match round two,9,[4:15:06] ,mofaseni,smh capcom,game,9
5396,match round two,9,[4:15:09] ,tristar,honda lookin phresh,cdesign,4
5397,match round two,9,[4:15:12] ,yunggrasshopper,whats the frames on that shoulder thrust,question,8
5398,match round two,9,[4:15:28] ,cpcp,honda begwan,cdesign,4
5399,match round two,9,[4:15:33] ,yunggrasshopper,no im going to go check out the notes,comment,2
5400,match round two,9,[4:15:36] ,ikarithewarrior,this is bs then coz we used ti have caracter every month,game,9
5401,match round two,9,[4:15:38] ,superpattz,raggo honda,request,1
5402,match round two,9,[4:15:39] ,machriphi,easxl yeah i think so but ive been messing a bit with the molotov one and you can build up a bunch of grey health that doesnt scale so maybe theres good pressure sequences where you can keep them burning,other,10
5403,match round two,9,[4:15:43] ,kebabonmytastebuds,kebabonmytastebuds is new here say hello,other,10
5589,match round two,9,[4:32:12] ,galexylo,everything,other,10
5590,match round two,9,[4:32:16] ,gailardiagalan,capcom and marvel do not want to do business with each other any time soon,game,9
5591,match round two,9,[4:32:17] ,angrycapitalist,i think its like for ex shoulder,cdesign,4
5592,match round two,9,[4:32:23] ,aqthagawd,ex shoulder is,cdesign,4
5593,match round two,9,[4:32:32] ,varodor,mvc in years maybe,game,9
5594,match round two,9,[4:32:35] ,damuffinman,mvc within the next years guaranteed,game,9
5595,match round two,9,[4:32:42] ,galexylo,kanzuki waifu theme,cdesign,4
5596,match round two,9,[4:32:43] ,itsakili,mvci is so good why make a marvel,game,9
5597,match round two,9,[4:32:43] ,damuffinman,too much money on the table not to,game,9
6026,match round two,9,[5:02:37] ,exgleipnir,lol,goodp,6
6027,match round two,9,[5:02:37] ,rashidoo,yo ustin im sorry but my thumbs are killing me,other,10
6028,match round two,9,[5:02:45] ,rashidoo,i cant anymore man lol,other,10
6029,match round two,9,[5:02:45] ,exgleipnir,i made killer in a week in that game then dropped it forever,game,9
6030,match round two,9,[5:02:47] ,killacam,glacius my boy,goodp,6
6031,match round two,9,[5:02:48] ,famousduce,not the same,badp,7
6032,match round two,9,[5:02:54] ,exgleipnir,never played it since super nintendo,other,10
6033,match round two,9,[5:02:55] ,goodpart,does that shoulder link to jab or is it just a hard commit,caction,3
6034,match round two,9,[5:02:55] ,ustinodj,you gotta when you are winning,caction,3
6035,match round two,9,[5:02:57] ,ustinodj,nah all good ggs,goodp,6
6036,match round two,9,[5:03:01] ,ustinodj,fuckin falke,caction,3
6037,match round two,9,[5:03:01] ,rashidoo,ggs,goodp,6
6038,match round two,9,[5:03:13] ,rashidoo,feelsfalkeman,caction,3
6039,match round two,9,[5:03:15] ,kumikones,anyone know which dp strength is her proper antiair,question,8
6040,match round two,9,[5:03:24] ,exgleipnir,always light,other,10
6041,match round two,9,[5:03:25] ,rashidoo,i definitely have the mu advantage tho,other,10
