,event,event_code,time,user,message,category,code
1133,match round one,8,[0:56:48] ,undagroundsund,mtbd,other,10
1134,match round one,8,[0:56:49] ,thelexnard,that throw animation is godlike,cdesign,4
1135,match round one,8,[0:56:51] ,mallyumansky,lucia vs blue mary at summerslam book it vince lmao,cinfo,5
1136,match round one,8,[0:56:51] ,daverhodus,the bundle is out on steam,game,9
1137,match round one,8,[0:56:51] ,badarcade,k,other,10
1138,match round one,8,[0:56:52] ,elliotterodriguez,best lucia in canada,cinfo,5
1139,match round one,8,[0:56:54] ,fscorn,he did character story modes,game,9
1140,match round one,8,[0:56:56] ,fscorn,for the fm,other,10
1141,match round one,8,[0:56:56] ,ustinodj,is vdog bullying ppl again,other,10
1142,match round one,8,[0:56:57] ,jabmasher,damonejr character story mode,game,9
1143,match round one,8,[0:56:57] ,grumpyillegal,sheop,other,10
1144,match round one,8,[0:56:59] ,poorygone,told ja,other,10
1145,match round two,9,[0:57:01] ,rashidoo,drragemonster her ex srk kick is an invincible reversal,caction,3
1146,match round two,9,[0:57:03] ,leoarod,how much for honda,question,8
1147,match round two,9,[0:57:05] ,hulkbusterv,lag city,game,9
1148,match round two,9,[0:57:08] ,sicayou,lmao sf netcode,other,10
1149,match round two,9,[0:57:08] ,ssjdill,any changes to the fight money system,question,8
1150,match round two,9,[0:57:12] ,yamsandjams,lol,goodp,6
1151,match round two,9,[0:57:19] ,blingximus,yo this lag tho,other,10
1152,match round two,9,[0:57:20] ,inodmyheadwhenilose,confirm,other,10
1153,match round two,9,[0:57:21] ,megatonbeef,djcyclone dragon ball was a nail bitter and infil back to win was cool,other,10
1154,match round two,9,[0:57:26] ,majestichimeros,smurf,other,10
1155,match round two,9,[0:57:27] ,blingximus,i forgot about this netcode,other,10
1156,match round two,9,[0:57:34] ,poorygone,welcome back to sf,game,9
1157,match round two,9,[0:57:37] ,madmaxtwch,is there a way to share fight money i have million and i dont play the game anymore,question,8
1158,match round two,9,[0:57:38] ,tehwrecker,what lag this is the new netcode,question,8
1159,match round two,9,[0:57:39] ,rashidoo,bully,other,10
1160,match round two,9,[0:57:40] ,igcrj,any height variation in lucias fireball,caction,3
1161,match round two,9,[0:57:40] ,hurked,win quit this bitch,cinfo,5
1162,match round two,9,[0:57:41] ,inodmyheadwhenilose,bully,other,10
1163,match round two,9,[0:57:44] ,ibukitanooki,blonde fighter v,cdesign,4
1164,match round two,9,[0:57:51] ,kfigueroa,not a rookie,other,10
1165,match round two,9,[0:57:51] ,grumpyillegal,she op need nerf,other,10
1166,match win,11,[0:58:00] ,johnieshabravo,she looks fun as heck,cinfo,5
1167,match win,11,[0:58:01] ,leoguimaraes,first of many laggy matches,other,10
1168,match win,11,[0:58:03] ,thelexnard,that looks like juris win animation,cdesign,4
1169,match win,11,[0:58:04] ,alpacaweed,only damn might have to get on it but im broke,other,10
1170,match win,11,[0:58:05] ,thelexnard,almost exactly lol,other,10
1171,match win,11,[0:58:05] ,badarcade,for hes a jolly good rookie,other,10
1172,match win,11,[0:58:06] ,mir,what kinda notation should i use for honda slaps,question,8
1173,match win,11,[0:58:07] ,royallyflushed,all cammys are leggy,cdesign,4
1174,match win,11,[0:58:07] ,xxhildyxx,dont lie to me is there actually a new netcode,question,8
1175,match win,11,[0:58:08] ,swiftruina,her face in that lighting,cdesign,4
1176,match win,11,[0:58:08] ,teddybearticket,bars,other,10
1177,match win,11,[0:58:09] ,miketales,so is v trigger one the better option,other,10
1178,match win,11,[0:58:10] ,asairaven,diamond rookie,other,10
1179,match round one,8,[0:58:12] ,thatjapanesedude,still hates lucia,cinfo,5
1180,match round one,8,[0:58:16] ,mir,ppplp sounds weird,cinfo,5
1181,match round one,8,[0:58:17] ,thecheeze,minor skipping going on,other,10
1182,match round one,8,[0:58:17] ,mrlawyer,rashidoo can i use caps begwan,question,8
1183,match round one,8,[0:58:19] ,kfigueroa,i want lucia to stomp on my nutz,cinfo,5
1184,match round one,8,[0:58:22] ,mrmuddyk,oooof,badp,7
1185,match round one,8,[0:58:22] ,spydermanga,badarcade i thought the same thing,other,10
1186,match round one,8,[0:58:25] ,djcyclone,megatonbeef imma have to watch all of them again,game,9
1187,match round one,8,[0:58:25] ,blingximus,xxhildyxx does this look like new netcode lol,game,9
1188,match round one,8,[0:58:26] ,mrmuddyk,what is that rollback,question,8
1189,match round one,8,[0:58:31] ,yomothewanderer,ill see you in bronze,comment,2
1190,match round one,8,[0:58:37] ,squalladv,ibukitanooki check all the female chars in sfv more than half are not blonde,cdesign,4
1191,match round one,8,[0:58:44] ,jabmasher,improved netcode,other,10
1192,match round one,8,[0:58:56] ,omegaxepsilon,lucia looks really cool and has a ton of personality me,cdesign,4
1193,match round one,8,[0:59:00] ,majestichimeros,evousa,game,9
1194,match round one,8,[0:59:00] ,kfigueroa,netcode better than mk,other,10
1195,match round one,8,[0:59:00] ,shadowdancer,perdon,request,1
1196,match round one,8,[0:59:01] ,ochuckles,i wish theyd let you do hondas slaps with a quarter circle like they did with chuns lightning legs,cinfo,5
1197,match round one,8,[0:59:03] ,megatonbeef,squalladv and mika is jap so hers is dyed,cdesign,4
1198,match round one,8,[0:59:08] ,someguyzero,bar vt,other,10
1199,match round two,9,[0:59:10] ,squalladv,did she just say perdon sorry in spanish,cdesign,4
1200,match round two,9,[0:59:10] ,xxhildyxx,blingximus i just tuned in but no and now im big sad,other,10
1201,match round two,9,[0:59:10] ,mtbd,looking forward to the lucia swimsuit,other,10
1202,match round two,9,[0:59:11] ,thecheeze,she is kind of good to use i admit,cdesign,4
1203,match round two,9,[0:59:20] ,hanzosword,still not as annoying as fang poison,cdesign,4
1204,match round two,9,[0:59:20] ,hulkbusterv,just do it,request,1
1205,match round two,9,[0:59:22] ,slowmosapien,the reads,other,10
1206,match round two,9,[0:59:31] ,elliotterodriguez,kappaross fucking mash,caction,3
1207,match round two,9,[0:59:31] ,tristar,blonde fighter if u include men,cdesign,4
1208,match round two,9,[0:59:31] ,mrlawyer,is she stronger than karin,cinfo,5
1209,match round two,9,[0:59:33] ,thatjapanesedude,this guy is no rookie,other,10
1210,match round two,9,[0:59:37] ,inodmyheadwhenilose,he teched,other,10
1211,match round two,9,[0:59:42] ,biglil,german suplex atpchar,other,10
1212,match round two,9,[0:59:48] ,supershinobi,is the ps character bundle hidden somewhere in the store,game,9
1213,match round two,9,[0:59:55] ,battlebrn,this new character is growing on me i didnt think she would,cdesign,4
1214,match round two,9,[1:00:02] ,blingximus,ayy she kinda cool,cdesign,4
1215,match round two,9,[1:00:04] ,taken,sick,goodp,6
1216,match round two,9,[1:00:06] ,mora,nicely done overswpop,goodp,6
1217,match round two,9,[1:00:06] ,johnieshabravo,shes so sick,goodp,6
1218,match round two,9,[1:00:07] ,patonline,does she played like ken,caction,3
1219,match round two,9,[1:00:07] ,megatonbeef,supershinobi i cant find it either,game,9
1220,match round two,9,[1:00:07] ,megawarrior,will lucia dethrone karin as our new blonde queen,question,8
1221,match win,11,[1:00:10] ,biglil,she has flair in her animations,cdesign,4
1222,match win,11,[1:00:10] ,marocels,nice,goodp,6
1223,match win,11,[1:00:12] ,coolbones,honda looking different then i remember,cdesign,4
1224,match win,11,[1:00:14] ,ssjdill,i dont think these characters can convince my friends to reinstall this game,game,9
1225,match win,11,[1:00:16] ,randyinhd,kensakura is lookin good,cdesign,4
1226,match win,11,[1:00:16] ,hanzosword,yeah just like ken,cdesign,4
1227,match win,11,[1:00:16] ,squalladv,awright tehepelo,other,10
1228,match win,11,[1:00:18] ,cellus,budget ken super lmao,cinfo,5
1229,match win,11,[1:00:18] ,omegachainox,kencia,cinfo,5
1230,match win,11,[1:00:18] ,zyxwhitewind,no bundle yet,game,9
1231,match win,11,[1:00:20] ,mrmuddyk,hr ca is kinda lacking impact but shes cool,cinfo,5
1232,match win,11,[1:00:22] ,ventolin,dont think its out yet supershinobi,game,9
1233,match win,11,[1:00:23] ,mrmuddyk,her,other,10
1234,match win,11,[1:00:23] ,djcyclone,when you wanna try out poison then sfv reminds you of the laggy online doodstare,question,8
1235,match win,11,[1:00:24] ,swiftruina,the explosion saves the ca from being super lame,game,9
1236,match win,11,[1:00:26] ,biglil,lmao that face doe,cdesign,4
1237,match win,11,[1:00:27] ,yamsandjams,and a dash of sakura,cinfo,5
1238,match win,11,[1:00:27] ,thecheeze,so you dont hate her after that,cinfo,5
1239,match win,11,[1:00:28] ,teddybearticket,her super is basically the same as kens,cinfo,5
1240,match win,11,[1:00:28] ,admiralackbarssnackbar,some kolin,cinfo,5
1241,match win,11,[1:00:29] ,meiraf,she looks fun,cinfo,5
1242,match win,11,[1:00:30] ,mtbd,i bet theres lucia hentai already,cinfo,5
1276,match round one,8,[1:01:46] ,squalladv,where is he,question,8
1277,match round one,8,[1:01:51] ,poorygone,yo that fireball,goodp,6
1278,match round one,8,[1:01:52] ,megawarrior,omg,goodp,6
1279,match round one,8,[1:01:54] ,laken,yo,goodp,6
1280,match round one,8,[1:01:55] ,redhotjoe,sam sho was great pc when,other,10
1281,match round one,8,[1:01:57] ,hiiipwr,die to her profession her hair wouldve made better sense if it were brunette not a working mom blonde,cdesign,4
1282,match round one,8,[1:01:57] ,jackichigotg,her stance is waaack,cdesign,4
1283,match round one,8,[1:01:59] ,bymindx,that stun was quick,caction,3
1284,match round one,8,[1:02:01] ,mtbd,why isnt that punk playable,question,8
1285,match round one,8,[1:02:04] ,miketales,the mixups,other,10
1286,match round one,8,[1:02:10] ,mrlawyer,mtbd get a girlfriend kid,other,10
1287,match win,11,[1:02:11] ,yamsandjams,nice aa stmp,caction,3
1288,match win,11,[1:02:11] ,freakyyyy,i think hes smurf,other,10
1289,match win,11,[1:02:13] ,millselonius,samsho needs netcode buffs,game,9
1290,match win,11,[1:02:14] ,megatonbeef,redhotjoe infil our of dog house,other,10
1291,match win,11,[1:02:14] ,someguyzero,suplex city,other,10
1292,match win,11,[1:02:15] ,spydermanga,poor sakura,cinfo,5
1293,match win,11,[1:02:17] ,squalladv,dammm,goodp,6
1294,match win,11,[1:02:21] ,shotgunsagat,dont scare off the rookies,comment,2
1295,match win,11,[1:02:21] ,mtbd,fucking capcom are idiots sometimes,game,9
1296,match win,11,[1:02:22] ,hulkbusterv,dat suplex is fucking nice,goodp,6
1297,match round two,9,[1:02:26] ,slylataupe,where the trials done,question,8
1298,match round two,9,[1:02:27] ,roxlyn,kupa kawfee good name bro,goodp,6
1299,match round two,9,[1:02:30] ,freakyyyy,is cheater,other,10
1300,match round two,9,[1:02:34] ,redhotjoe,megatonbeef yup,other,10
1301,match round two,9,[1:02:39] ,thatjapanesedude,did you see the new guilty trailer,question,8
1302,match round two,9,[1:02:40] ,melloww,out here bullying rookies,other,10
1303,match round two,9,[1:02:41] ,shadowdancer,man the guys is trying to enjoy free week and is bulling him,other,10
1304,match round two,9,[1:02:42] ,thumbles,kinda like cody rock,cdesign,4
1305,match round two,9,[1:02:46] ,poorygone,bully arcade,other,10
1306,match round two,9,[1:02:50] ,someguyzero,mashing grab,request,1
1307,match round two,9,[1:02:51] ,squalladv,kupakawfee was the perfect name account p,comment,2
1308,match round two,9,[1:02:54] ,rd,her hurricane kick looks like codys vskill,caction,3
1309,match round two,9,[1:02:58] ,johnieshabravo,lcd,goodp,6
1310,match round two,9,[1:02:58] ,davidfosterflawless,wow,goodp,6
1311,match round two,9,[1:03:02] ,davidfosterflawless,it stays active,goodp,6
1312,match round two,9,[1:03:05] ,ssjdill,you think these characters would get people interested in sf again,game,9
1313,match win,11,[1:03:06] ,biglil,that lasts long,goodp,6
1314,match win,11,[1:03:07] ,davidfosterflawless,thats nice,goodp,6
1315,match win,11,[1:03:11] ,queenblackheart,her fireballs legit,caction,3
1316,match win,11,[1:03:11] ,abdulalm,yo she might be low key broken,cinfo,5
1317,match win,11,[1:03:13] ,millselonius,that fireball seems good,caction,3
1318,match win,11,[1:03:14] ,rashidoo,lmao,goodp,6
1319,match win,11,[1:03:17] ,thelexnard,its more like fangs fireball,caction,3
1320,match win,11,[1:03:17] ,ragingmarmot,lol,goodp,6
1321,match win,11,[1:03:22] ,toumakami,i thought she was wack,question,8
1322,match win,11,[1:03:25] ,darnellplayer,her fireball seems weird,caction,3
1323,match win,11,[1:03:27] ,melloww,bully,other,10
1324,match win,11,[1:03:29] ,poorygone,that fireball do not disappear after hit,caction,3
1325,match win,11,[1:03:30] ,hulkbusterv,these poor rookies,other,10
1326,match win,11,[1:03:30] ,gruffgridof,tyrantwin tyrantwow capcomsakurahey,other,10
1327,match win,11,[1:03:31] ,miketales,so if you space it right you can get a reset with the fireball,caction,3
1328,match round one,8,[1:03:34] ,sweetbabybuddha,the nullying doesnt stop,other,10
1329,match round one,8,[1:03:38] ,hiiipwr,c viper,other,10
1330,match round one,8,[1:03:41] ,swiftruina,her face on the victory screen is horrifying,cdesign,4
1331,match round one,8,[1:03:41] ,fedorabattlemaster,way to bully and make new players drop this game fungineer,other,10
1332,match round one,8,[1:03:42] ,dasvonuberschnitzel,is she worth trying,question,8
1333,match round one,8,[1:03:48] ,yamsandjams,whats with these aa mps,question,8
1334,match round one,8,[1:03:52] ,megamikex,how could you not expect the throw,comment,2
1335,match round one,8,[1:03:52] ,biglil,whats her health,question,8
1336,match round one,8,[1:03:53] ,slylataupe,whoa her face is ugly,cdesign,4
1337,match round one,8,[1:03:54] ,taken,i want to try luica,cinfo,5
1338,match round one,8,[1:03:54] ,mrmuddyk,this man is slamming his face on the controller,comment,2
1339,match round one,8,[1:03:57] ,mrlawyer,darnellplayer more weird than rashid fireball,cinfo,5
1340,match round one,8,[1:03:59] ,admiralackbarssnackbar,i hope they ban smurfs in sf,game,9
1341,match round one,8,[1:04:00] ,gregcanela,new characters on the screen,game,9
1342,match round one,8,[1:04:01] ,ssjdill,so no pro fei long deep jay rose,cinfo,5
1343,match win,11,[1:04:17] ,thatjapanesedude,told ya,other,10
1344,match win,11,[1:04:22] ,squalladv,told ya tehepelo,other,10
1345,match win,11,[1:04:23] ,poorygone,thawk is next,request,1
1346,match win,11,[1:04:24] ,abdulalm,he has a straight up on a fucking blocked fireball thats insane,cinfo,5
1347,match win,11,[1:04:24] ,darnellplayer,mrlawyer more like same field but different angles,game,9
1348,match win,11,[1:04:24] ,leoguimaraes,im bored go back to blanka or sagat,request,1
1349,match round two,9,[1:04:27] ,freakyyyy,cup of kwuafee,other,10
1350,match round two,9,[1:04:36] ,spacedive,so is she top tier,question,8
1351,match round two,9,[1:04:37] ,thelexnard,day optimization,other,10
1352,match round two,9,[1:04:38] ,squalladv,perdon,caction,3
1353,match round two,9,[1:04:40] ,pinksoul,lmao poor sakura,cinfo,5
1354,match win,11,[1:04:42] ,meiraf,is that tatsu her reversal,question,8
1355,match win,11,[1:04:46] ,shakutv,sfv is free and the noobs you beat arent gonna buy this lol,game,9
1356,match win,11,[1:04:50] ,megatonbeef,welfare players must be beatin,other,10
1357,match win,11,[1:04:52] ,megawarrior,this sakura about to delete the game from steam,cinfo,5
1358,match win,11,[1:04:53] ,hulkbusterv,gatekeeping the free players,other,10
1359,match win,11,[1:04:53] ,shotgunsagat,we need a new vesperbully emote,other,10
1360,match win,11,[1:04:55] ,squalladv,i like her winning face,cdesign,4
1361,match win,11,[1:04:55] ,johnieshabravo,police brutality,cinfo,5
1362,match win,11,[1:04:56] ,lordklahatv,lordklahatv is new here say hello heyguys,other,10
1363,match win,11,[1:04:59] ,melloww,bully,other,10
1463,match round one,8,[1:07:33] ,rashidoo,we got akuma from tekken,game,9
1464,match round one,8,[1:07:34] ,pinksoul,final fight characters are apart of the sf universe,game,9
1465,match round one,8,[1:07:34] ,rashidoo,fuck,other,10
1466,match round one,8,[1:07:36] ,eltaninz,final fight shares the same universe though,game,9
1467,match round one,8,[1:07:36] ,squalladv,where is he,question,8
1468,match round one,8,[1:07:41] ,micksinjer,nacalli is a guest character,game,9
1469,match round one,8,[1:07:42] ,megatonbeef,we had sarada as a guest,game,9
1470,match round one,8,[1:07:44] ,ninodiablo,dont waste precious character slots on guests,game,9
1471,match round one,8,[1:07:49] ,thatjapanesedude,rival schools character in sfv needs to happen,game,9
1472,match round one,8,[1:07:51] ,yamsandjams,hondas basically a guest character at this point,game,9
1473,match round one,8,[1:07:53] ,abdulalm,real talk we could use geese in street fighter,game,9
1474,match round one,8,[1:07:54] ,katyparryfgc,i,other,10
1475,match round one,8,[1:07:55] ,mrlawyer,is poison she or he,question,8
1476,match round one,8,[1:07:57] ,micksinjer,we will never see him in sf lol,other,10
1477,match round one,8,[1:07:58] ,roxlyn,this guys from indiana,other,10
1478,match round one,8,[1:08:02] ,biglil,yall wanted honda back,request,1
1479,match round one,8,[1:08:03] ,mrmuddyk,cheeks,other,10
1480,match round one,8,[1:08:04] ,badarcade,dat ass tho,cdesign,4
1481,match round one,8,[1:08:04] ,roxlyn,hoosier,other,10
1482,match round one,8,[1:08:07] ,katyparryfgc,ill never understand why ppl dont like guests,game,9
1483,match round one,8,[1:08:07] ,megatonbeef,mrlawyer whatever you need,other,10
1484,match round one,8,[1:08:13] ,thelexnard,honda ass about to me memed,caction,3
1485,match round one,8,[1:08:13] ,cerealpuff,did he just jump lucia,question,8
1486,match round one,8,[1:08:14] ,rustedobsidian,new character hype,game,9
1487,match round one,8,[1:08:14] ,slylataupe,they do not welcome they are capcom,game,9
1488,match round one,8,[1:08:14] ,squalladv,mrlawyer whatever you want,other,10
1489,match round one,8,[1:08:17] ,rashidoo,i think hondas ex headbutt is like,cdesign,4
1490,match round one,8,[1:08:17] ,galexylo,wooah the thickness,cdesign,4
1491,match round one,8,[1:08:17] ,thecheeze,e honda is what we expected,cinfo,5
1492,match round one,8,[1:08:18] ,miketales,that boys whole booty is out,cdesign,4
1493,match round one,8,[1:08:19] ,ninjavanish,lol i love that throw,goodp,6
1494,match round one,8,[1:08:21] ,mallyumansky,omega rugal for season lol,other,10
1495,match round one,8,[1:08:22] ,megawarrior,honda,cinfo,5
1496,match round one,8,[1:08:25] ,badarcade,he should have vt,caction,3
1497,match round one,8,[1:08:25] ,poorygone,lmao his charge is too obvious,caction,3
1498,match round one,8,[1:08:26] ,peepcan,did i just saw his ass,cinfo,5
1499,match win,11,[1:08:31] ,laughswithknives,hold up to charge,request,1
1500,match win,11,[1:08:37] ,micksinjer,damn look at that ass,cdesign,4
1501,match win,11,[1:08:38] ,marocels,im glad hes back,cinfo,5
1502,match round two,9,[1:08:40] ,hulkbusterv,honda has a nice ass,cdesign,4
1503,match round two,9,[1:08:40] ,gregcanela,thats a thicc ass,cdesign,4
1504,match round two,9,[1:08:41] ,someguyzero,i dont like hondabullying lucia swiftrage,caction,3
1505,match round two,9,[1:08:42] ,greyseerrob,honda is hawt kappapride,cdesign,4
1506,match round two,9,[1:08:43] ,abdulalm,no one like honda lol,cdesign,4
1507,match round two,9,[1:08:46] ,cellus,i want viper,request,1
1508,match round two,9,[1:08:47] ,inodmyheadwhenilose,this chat is just weebs,other,10
1509,match round two,9,[1:08:49] ,drunkennoodlez,honda is sickkkk fuck the haters,cdesign,4
1510,match round two,9,[1:08:49] ,cellus,still,other,10
1511,match round two,9,[1:08:49] ,badarcade,can those cheeks clap times,question,8
1512,match round two,9,[1:08:56] ,rashidoo,yeah honder is cool,cinfo,5
1513,match round two,9,[1:08:57] ,darnellplayer,i didnt want honda but world warriors want him,cinfo,5
1514,match round two,9,[1:08:59] ,johnliq,honda looks good,cdesign,4
1515,match round two,9,[1:08:59] ,ninjavanish,its good to have honda back,cinfo,5
1516,match round two,9,[1:09:00] ,darknessragepr,her fb looking like ks from kof,cdesign,4
1517,match round two,9,[1:09:06] ,keikei,i want honda in jst a thong,cdesign,4
1518,match round two,9,[1:09:08] ,leoguimaraes,hondas throw is a hump,caction,3
1519,match round two,9,[1:09:08] ,squalladv,honda is really great designed for sfv,cdesign,4
1520,match round two,9,[1:09:08] ,megatonbeef,honda isnt the same without miek russ,cinfo,5
1521,match round two,9,[1:09:12] ,mir,headbutt got anti air hitboxes for the first three frames or so,caction,3
1522,match round two,9,[1:09:12] ,poorygone,hondas damage tho,cinfo,5
1523,match round two,9,[1:09:15] ,mir,also shp,other,10
1524,match round two,9,[1:09:19] ,thelexnard,you need to give someone a kupakawfee,other,10
1525,match win,11,[1:09:25] ,rashidoo,sthp is a really nice button for honda,cinfo,5
1526,match win,11,[1:09:26] ,ninjavanish,this guys not doing hondas splash,caction,3
1527,match win,11,[1:09:28] ,omegaxepsilon,im nodding my head because youre right,caction,3
1528,match win,11,[1:09:29] ,solarxlipse,and chat wats up everyone,other,10
1529,match win,11,[1:09:30] ,freakyyyy,top tier,other,10
1530,match win,11,[1:09:31] ,sweetbabybuddha,hondas got a p h a t ass,cinfo,5
1531,match win,11,[1:09:31] ,cellus,whens viper,question,8
1532,match win,11,[1:09:33] ,katyparryfgc,yall would shit yaself if leona came over to sfv,other,10
1533,match win,11,[1:09:34] ,thecheeze,he is a honda beta tester,cinfo,5
1534,match win,11,[1:09:34] ,universefour,is she out,question,8
1535,match win,11,[1:09:36] ,johnieshabravo,people are labbing honda and says hes really good,cinfo,5
1536,match win,11,[1:09:37] ,robobishop,i really like the direction they took honda now give us dee jay dammit,cinfo,5
1537,match win,11,[1:09:37] ,hsln,ken wife,cinfo,5
1538,match win,11,[1:09:40] ,thiir,hi how r u,question,8
1539,match win,11,[1:09:48] ,badarcade,honda came out of retirement for this,cinfo,5
1540,match win,11,[1:09:48] ,rashidoo,deejay for life,other,10
1541,match win,11,[1:09:54] ,hulkbusterv,he knows you a smurf,other,10
1542,match win,11,[1:09:55] ,asairaven,you pissed off,other,10
1590,match round one,8,[1:11:15] ,toshobro,from her trials she seems very rush downish,cinfo,5
1591,match round one,8,[1:11:17] ,killacam,just finished watching evo hype af swiftrage swiftrage swiftrage yet said it ended,game,9
1592,match round one,8,[1:11:17] ,variantx,you reek of smurf thats why he ran,other,10
1593,match round one,8,[1:11:22] ,yawyan,her standing mp is on block i think,other,10
1594,match round one,8,[1:11:23] ,omegachainox,the mirror,other,10
1595,match round one,8,[1:11:26] ,yamsandjams,howitzer style,other,10
1596,match round one,8,[1:11:28] ,clinnamon,the classic,other,10
1597,match round one,8,[1:11:28] ,coolvargas,chat does poison have a standing kick that hit low,question,8
1598,match round one,8,[1:11:29] ,poorygone,oh ken players,cinfo,5
1599,match round one,8,[1:11:31] ,jabmasher,ssjdill im assuming they dont play sfv thats normal,game,9
1600,match round one,8,[1:11:32] ,komradekontroll,keep laughing once this ken hits the lag switch its game,cinfo,5
1601,match round one,8,[1:11:33] ,yawyan,super danked,goodp,6
1602,match round one,8,[1:11:38] ,ragingmarmot,that fireball is wack,goodp,6
1603,match round one,8,[1:11:40] ,chronodragon,online kens head,caction,3
1604,match round one,8,[1:11:41] ,miketales,ken doing ken things,caction,3
1605,match round one,8,[1:11:45] ,abdulalm,legit online ken tech,caction,3
1606,match round one,8,[1:11:48] ,darnellplayer,the hate for ken in this chat smh,cinfo,5
1607,match round one,8,[1:11:52] ,thecheeze,flowchart ken,caction,3
1608,match round one,8,[1:11:52] ,gregcanela,fullscreen tatsu the forbidden weapon,caction,3
1609,match round one,8,[1:11:56] ,clinnamon,lucia,cinfo,5
1610,match win,11,[1:12:00] ,megatonbeef,he knows hard kick and all special moves hell be silver in no time,caction,3
1611,match win,11,[1:12:01] ,squalladv,ohmydog ohmydog ohmydog,other,10
1612,match win,11,[1:12:01] ,jayvokz,wake up fb new meta,other,10
1613,match win,11,[1:12:02] ,komradekontroll,i dont hate ken i hate ken players,cinfo,5
1614,match win,11,[1:12:03] ,topgunlt,thats the best vtrigger punoko,goodp,6
1615,match win,11,[1:12:04] ,mountainmike,his sweeps are on point calebk,goodp,6
1616,match win,11,[1:12:05] ,laughswithknives,youre playing female ken,cinfo,5
1617,match round two,9,[1:12:06] ,poorygone,told ja,other,10
1618,match round two,9,[1:12:06] ,nosferatulive,wake up fireball,request,1
1619,match round two,9,[1:12:08] ,someguyzero,she must be kens long lost sister,cinfo,5
1620,match round two,9,[1:12:08] ,aaron,hes a fortnite player trying out for the first time,other,10
1621,match round two,9,[1:12:09] ,robobishop,lucia legit just better ken,cinfo,5
1622,match round two,9,[1:12:11] ,zyxwhitewind,this guy isnt silver yet,other,10
1623,match round two,9,[1:12:20] ,mrmuddyk,at least his connection is good,other,10
1624,match round two,9,[1:12:21] ,darnellplayer,komradekontroll i call heavy bs with this card,other,10
1625,match round two,9,[1:12:22] ,thiir,does her low medium kick cancelable,question,8
1626,match round two,9,[1:12:24] ,shawnu,lucil give me strength,request,1
1627,match round two,9,[1:12:31] ,thelexnard,every time i see this stage i think of the snes sfii turbo box art,game,9
1628,match round two,9,[1:12:33] ,clinnamon,her kicking those fireballs is kinda sick,caction,3
1629,match round two,9,[1:12:36] ,paulowebtv,not bad,goodp,6
1630,match round two,9,[1:12:36] ,mrmuddyk,not badnot ba,goodp,6
